SO#,Container type,Container NO,Seal NO,QTY,CTN,No of Package,Total No of Package,N.W.,GW,CBM,UN Type,HTS CODE,END BYR PO,TTI MODEL,CUST MODEL,OFIS LN NBR,OFIS SHIPMENT NBR,OFIS LINE ID,CSR Number,Desc.of Goods
763031818,40HC,UACU5820041,HLC1597671,150,75,,75,492,675,"5,402",NONDG,8414.59.6590,5500004111,095653008,P21011K,8,1752,6171505,VCC21228,"US, P21011K \ RYOBI 18V 250CFM BLOWER KIT \PIR NO. OP-603"
763032832,,,,350,175,,175,1148,1575,"12,605",NONDG,8414.59.6590,5500004111,095653008,P21011K,8,1751,6199741,VCC21228,"US, P21011K \ RYOBI 18V 250CFM BLOWER KIT \PIR NO. OP-603"
763032850,,,,78,78,,78,"255,06","381,03","3,626",DG,8414.59.6590,5500004112,096764001DG9,PBLLB01K,1,1123,6172101,VCC21228,"US, PBLLB01K \RYOBI 18V HP 510CFM BLOWER KIT \ PIR NO. OP-635"
763032744,,,,22,22,,22,"71,94","107,47","1,023",DG,8414.59.6590,5500004112,096764001DG9,PBLLB01K,1,1123,6199327,VCC21228,"US, PBLLB01K \RYOBI 18V HP 510CFM BLOWER KIT \ PIR NO. OP-635"
763032832,,,,200,100,,100,921,1310,"11,304",GENERAL,8467.22.0040,5500004111,096202101,RY40HPCW02B,354,388,6199748,VCC21228,"US,RY40HPCW02B\RYOBI 40V HP 16” BRUSHLESS CHAIN SAW BARE TOOL \PIR OP-1048"
763032832,,,,300,150,,150,2070,2730,"23,499",NONDG,8467.29.0070,5500004111,096917001,PCLCK202K,30,2326,6199755,VCC21228,"US, PCLCK202K \ P20018VNM RYOBI 18V 13 STRING TRIMMER AND PCLLB01 'RYOBI 18V 350 CFM BLOWER COMBO KIT\PR PIR-OP-668"
763032832,,,,200,100,,100,552,850,"7,453",GENERAL,8467.29.0090,5500004111,096946001,PBLHG01B,346,1513,6199760,VCC21228,"US, PBLHG01B \ RYOBI 18V HP BL 24 HEDGE TRIMMER BARE TOOL \ PIR NO. OP-1083"
,,,Total: ,1300,700,0,700,5510,"7628,5","64,912",,,,,,,,,,
763032829,40HC,FANU1382985,HLC1597673,1920,40,,40,"230,4","412,8","2,637",GENERAL,3916.90.3000,5500004111,000996985,AC04149A,432,136,6199720,VCC21229,"US, AC04149A \ RYOBI 0.095'' PRE -CUT SPRIAL LINE ACCESSORY (5-PK) \ PIR OP -1232"
763032829,,,,300,150,,150,1311,1770,"17,305",NONDG,8467.29.0070,5500004111,095173101,P2310VNM,2,1201,6199727,VCC21229,"US, P2310VNM \ ONE+ 9IN. EDGER KIT"
763031437,,,,2,1,,1,"8,74","11,8","0,115",NONDG,8467.29.0070,5500004111,095173101,P2310VNM,2,1120,6163141,VCC21229,"US, P2310VNM \ ONE+ 9IN. EDGER KIT"
763032832,,,,300,150,,150,1350,1680,"13,492",GENERAL,8467.29.0090,5500004111,095443001,RY40603BTLVNM,47,1086,6199736,VCC21229,"US, RY40603BTLVNM \ DC 40V RYOBI POLE HEDGE TRIMMER, BARE TOOL FOR SALE \ PIR XX-XXX"
